inventor_id,name,country
fl:ch_ln:roof-1,Christopher Roof,US
fl:mi_ln:li-316,Minsong Li,CN
fl:sc_ln:puckett-1,Scott Puckett,US
fl:ch_ln:tsai-403,Cheng-Hsiung Tsai,US
fl:zh_ln:deng-120,Zhonghua Deng,US
fl:jo_ln:magnani-4,Joseph Andrew Magnani,US
fl:ta_ln:tateno-7,Takayuki Tateno,JP
fl:jo_ln:sprowl-1,Jory Sprowl,US
fl:da_ln:imai-8,David Tadashi Imai,US
fl:kr_ln:brown-11,Krista Brown,US
fl:jo_ln:carlson-8,Jonathan Axel Carlson,US
fl:we_ln:su-159,Wenhe Su,CN
fl:sh_ln:murase-7,Shinya Murase,JP
fl:pa_ln:buresh-2,Patrick Jon Buresh,US
fl:je_ln:keomany-1,Jean Keomany,CH
fl:pr_ln:shetty-3,Prakruthi Shetty,US
fl:ba_ln:groenendaal-2,Bas Groenendaal,NL
fl:li_ln:wei-74,Lihu Wei,US
fl:do_ln:wang-65,Dongdong Wang,CN
fl:hy_ln:kwon-30,Hyuk Lyul Kwon,KR
fl:tr_ln:mcculler-1,Troy R. McCuller,US
fl:ja_ln:wilcox-4,James D. Wilcox,US
fl:sa_ln:brombacher-1,Sandra Brombacher,DE
fl:ky_ln:chumchal-1,Kyle Chumchal,US
fl:ar_ln:redon-1,Arnaud Redon,DE
fl:ka_ln:zheng-17,Kai Zheng,US
fl:ji_ln:guan-45,Jilei Guan,US
fl:qi_ln:jiang-88,Qi Jiang,CN
fl:mi_ln:yamamoto-69,Mitsue Yamamoto,US
fl:al_ln:hoffmann-8,Allen David Hoffmann,US
fl:pa_ln:wraith-2,Paul Wraith,US
fl:yu_ln:hu-204,Yuanfei Hu,CN
fl:ho_ln:zheng-50,Hongbing Zheng,SG
fl:hu_ln:yu-25,Huang Yu,TW
fl:ma_ln:lane-27,Marvin Lane,US
fl:ta_ln:ishii-27,Takaaki Ishii,JP
fl:ma_ln:augimeri-1,Matthew Augimeri,AU
fl:st_ln:green-7,Steven Green,GB
fl:se_ln:oh-87,Se-hoon Oh,KR
fl:sh_ln:aoyagi-2,Shota Aoyagi,US
fl:fe_ln:lin-21,Feng-Sheng Lin,TW
fl:jo_ln:sanders-45,"Joeseph Leon Sanders, II",US
fl:ju_ln:amago-1,Justin Amago,US
fl:ma_ln:moretti-6,Matteo Moretti,US
fl:fr_ln:asztalos-1,Frank Zsigmond Asztalos,US
fl:sh_ln:zeng-57,Shiping Zeng,CN
fl:be_ln:lecoanet-1,Benoit Lecoanet,FR
fl:de_ln:abdourahim-1,Delphine Abdourahim,US
fl:ho_ln:park-49,Hong Jin Park,KR
fl:hy_ln:kim-375,Hyeong Seon Kim,KR
fl:an_ln:haldeman-1,Andrew Paul Haldeman,US
fl:ji_ln:tian-28,Jianbo Tian,CN
fl:so_ln:murphy-2,Sonja Murphy,US
fl:bo_ln:epel-1,Boris Epel,US
fl:mi_ln:ferrari-2,Michele Ferrari,IT
fl:ja_ln:leventhal-1,Jamie Leventhal,US
fl:ke_ln:katterheinrich-1,Kent D. Katterheinrich,US
fl:pi_ln:piccioli-1,Pierpaolo Piccioli,IT
fl:xi_ln:wen-103,Xiaoying Wen,US
fl:wi_ln:anniss-2,"William Thomas Anniss, III",US
fl:ha_ln:hansen-6,Hans A Hansen,US
fl:er_ln:suburu-1,Eric Baptiste Suburu,US
fl:li_ln:chen-563,Li Huan Chen,CN
fl:yo_ln:li-122,Yonghong Li,US
00ebodr6b6df7mcy25de25fov,Ryan Stover,US
fl:gi_ln:reimann-1,Gina Reimann,US
fl:si_ln:schedoni-1,Simone Schedoni,IT
fl:su_ln:bang-27,Sung-Il Bang,KR
fl:sh_ln:wu-819,Shaojie Wu,US
fl:br_ln:bellile-1,Brian Randall Bellile,US
fl:ri_ln:barriere-1,Richard Barriere,FR
fl:vi_ln:rao-20,Vivek S. Rao,US
fl:ch_ln:harris-63,Charlotte Harris,US
fl:da_ln:glenn-12,Darin Glenn,US
fl:st_ln:ammon-1,Stephen Douglas Ammon,US
fl:be_ln:kusters-1,Benjamin E. Kusters,US
fl:sh_ln:yamamoto-83,Shinya Yamamoto,JP
fl:ha_ln:zhang-137,Hanna Zhang,US
fl:si_ln:andersen-3,Signe Utoft Andersen,DK
fl:se_ln:murray-3,Seth Murray,US
fl:kr_ln:bosiak-1,Krzysztof Bosiak,US
fl:ti_ln:loucks-2,Tim Loucks,US
fl:ro_ln:nunez-7,Robert Nunez,US
fl:ch_ln:hackman-3,Chad Hackman,US
fl:st_ln:o'brien-6,Stephen William O'Brien,US
fl:al_ln:baldwin-13,Alan Baldwin,US
fl:ji_ln:lu-113,Jing Lu,CN
fl:lo_ln:qin-2,Long Qin,CN
fl:ti_ln:quinn-4,Timothy Aaron Quinn,US
fl:ca_ln:bonath-3,Casey Bonath,US
fl:ch_ln:lee-2399,Chanwoo Lee,KR
fl:sh_ln:zhou-120,Shunqiang Zhou,US
fl:ji_ln:gao-189,Jinfeng Gao,CN
00gyl9wn02hjtpq8f78mnvseq,Linda Roussel,US
fl:al_ln:haas-16,Alex Haas,US
fl:pi_ln:deng-9,Pijuan Deng,US
fl:ka_ln:huang-8,Karl Huang,CN
fl:jo_ln:buller-2,Jonathan Blake Buller,US
fl:jo_ln:becker-1,Jonah Avram Becker,US
fl:el_ln:hammond-1,Elizabeth Hammond,US
fl:sh_ln:kohatsu-1,Shane S. Kohatsu,US
fl:hy_ln:kim-274,Hyung-Soo Kim,KR
fl:mi_ln:li-211,Mingyu Li,CN
fl:mi_ln:boyd-14,Michael Boyd,US
fl:le_ln:shen-12,Leyao Shen,CN
fl:ji_ln:zhong-2,Jianwu Zhong,CN
fl:ba_ln:andre-6,Bartley K. Andre,US
fl:xi_ln:bao-44,Xiuyuan Bao,US
fl:da_ln:lipton-1,David A. Lipton,US
fl:ro_ln:tomasi-1,Roberto Tomasi,RO
fl:ka_ln:kim-33,Kang Min Kim,GB
fl:zh_ln:jin-85,Zhong-Yi Jin,CN
fl:jo_ln:cornish-2,Joshua R. Cornish,US
fl:za_ln:sweitzer-1,Zachary Robert Sweitzer,US
fl:du_ln:kerr-1,Duncan Robert Kerr,US
fl:da_ln:ricehouse-1,Daniel I. Ricehouse,US
fl:zh_ln:hu-237,Zhenyang Hu,US
fl:jo_ln:ratjen-2,Jochen Ratjen,SE
fl:sa_ln:park-205,Saekyu Park,KR
fl:sc_ln:patt-1,Scott Patt,US
fl:yu_ln:hu-159,Yubin Hu,CN
fl:wi_ln:hansen-9,William L. Hansen,US
fl:ch_ln:lasserre-1,Christophe Lasserre,CH
fl:ax_ln:meise-1,Axel Meise,DE
fl:sh_ln:ju-5,Shuan-Yeong Ju,TW
fl:ch_ln:stringer-4,Christopher J. Stringer,US
fl:ad_ln:pozdro-1,Adam Pozdro,US
fl:ri_ln:wong-20,Richard Wong,US
fl:di_ln:chang-12,Diana Chang,US
fl:em_ln:weber-4,Emery Weber,FI
fl:wi_ln:casey-5,"William Robert Casey, III",US
00kbhph26i3lahaawdwhnotds,Donna Jayne McGuckin,US
fl:ta_ln:yuksek-1,Tamer Yüksek,TR
fl:mi_ln:wu-189,Min Wu,US
fl:ma_ln:krauter-2,Manfred Krauter,RO
fl:sh_ln:huang-684,Shih Jyi Huang,TW
fl:je_ln:seong-3,Jeongeon Seong,KR
fl:la_ln:worcester-1,Laura Worcester,US
fl:bo_ln:koh-3,Bong-Hun Koh,KR
fl:ja_ln:stovall-2,Jarrod Stovall,US
fl:na_ln:hoang-2,Nam Hoang,US
fl:hy_ln:ko-5,Hyun Jin Ko,US
fl:th_ln:vanderkooij-1,Thomas Van Der Kooij,NL
fl:xu_ln:zeng-9,Xueren Zeng,CN
fl:ch_ln:botkin-1,Charles William Botkin,US
fl:co_ln:hart-13,Colin Hart,US
fl:sa_ln:aoyagi-4,Satoshi Aoyagi,JP
fl:ch_ln:chang-201,Chia-Wei Chang,TW
fl:an_ln:libman-1,Andrew D. Libman,US
fl:ji_ln:lai-124,Jiayi Lai,US
fl:la_ln:west-3,Lawrence C. West,US
fl:jo_ln:andolina-3,Joseph Andolina,US
fl:gr_ln:roland-1,Gregory D. Roland,US
fl:jo_ln:bernalramirez-1,Jose D. Bernal-Ramirez,US
fl:qi_ln:wu-70,Qiang Wu,CN
fl:ro_ln:lv-2,Rongyu Lv,US
fl:ma_ln:day-15,Mark Day,US
fl:cl_ln:burns-2,Clay Burns,US
fl:st_ln:forsythe-2,Stephanie J. Forsythe,CA
fl:ro_ln:pratley-1,Rob Pratley,GB
fl:jo_ln:honnette-1,Jordan Richard Honnette,US
fl:ro_ln:garcia-32,"Robert Garcia, III",US
fl:ji_ln:xu-490,Jiannan Xu,CN
fl:en_ln:zhou-12,Enming Zhou,CN
fl:sh_ln:huff-1,Shawn Leland Huff,US
fl:ju_ln:reid-3,Justin Reid,US
fl:ma_ln:diebel-1,Markus Diebel,US
fl:do_ln:evans-22,Douglas G. Evans,US
fl:yu_ln:yang-315,Yuanchang Yang,CN
fl:ni_ln:garfias-1,Nicolas Adolfo Garfias,US
fl:th_ln:terrien-1,"Thomas F. Terrien, Jr.",US
fl:sh_ln:sakurai-4,Shunya Sakurai,JP
fl:hw_ln:song-8,Hwa Yoon Song,KR
fl:ne_ln:johnston-1,Neal Davis Johnston,US
fl:ja_ln:garrett-21,James Garrett,US
fl:ja_ln:simon-27,Jacqueline Simon,US
fl:an_ln:neale-1,Anna-Carin M. Neale,US
fl:li_ln:krieger-1,Lillian Krieger,US
fl:za_ln:rosner-1,Zachary Rosner,US
fl:mi_ln:zhou-81,Min Zhou,CN
fl:er_ln:fisher-7,Eric Fisher,US
fl:ma_ln:baluja-1,Manisha Dahiya Baluja,US
fl:ch_ln:shen-302,Christopher Shen,US
fl:fl_ln:fick-1,Florian Josel Fick,DE
fl:ma_ln:asano-37,Masato Asano,JP
fl:jo_ln:brewer-9,Jordan Christopher Brewer,US
fl:da_ln:aguilar-6,David Aguilar,US
fl:my_ln:lee-173,Myungjoong Lee,US
fl:gu_ln:royat-1,Guillaume Royat,FR
fl:ri_ln:hunt-3,Richard David Hunt,US
fl:bi_ln:soodi-1,Birk Söödi,SE
fl:as_ln:moy-2,Ashley Sue Moy,US
fl:mi_ln:conti-4,Michael P. Conti,US
fl:be_ln:kozub-1,Benjamin Luke Kozub,US
fl:se_ln:kwak-5,Seung Ju Kwak,KR
fl:ji_ln:sun-369,Jiada Sun,CN
fl:ja_ln:song-90,Jae Hyung Song,KR
fl:st_ln:gahlings-1,Steven Antony Gahlings,GB
fl:da_ln:friedman-13,David J. Friedman,US
fl:jo_ln:baldwin-18,Joseph Baldwin,US
fl:zh_ln:he-202,Zhijun He,CN
fl:al_ln:greenhalg-1,Allan Greenhalg,AU
fl:ma_ln:takayama-20,Masahiro Takayama,JP
fl:al_ln:dumler-2,Alex Dumler,DE
fl:be_ln:williams-11,Benjamin P. Williams,US
fl:mo_ln:taylor-9,Morgan Taylor,US
fl:mi_ln:kim-337,Minyoung KIM,KR
fl:da_ln:kogan-2,Daniel Kogan,US
fl:pi_ln:mariani-1,Pierre Mariani,FR
fl:jo_ln:gomezporras-1,Jose María Gómez Porras,US
fl:wo_ln:kim-52,Woo-Seop Kim,KR
fl:ri_ln:boyes-2,Richard John Boyes,NZ
fl:fa_ln:hu-30,Fang Hu,CN
fl:st_ln:owusu-1,Stephen Owusu,US
fl:ky_ln:hawthorne-1,Kyle S. Hawthorne,US
fl:ar_ln:turgel-4,Ariel Turgel,US
fl:ma_ln:senf-1,Manuela Senf,DE
fl:al_ln:dye-5,Alan C. Dye,US
fl:ch_ln:chen-941,Chin-Yuan Chen,US
fl:ol_ln:bradley-2,Oliver Bradley,CA
fl:ka_ln:abdalamendez-1,Kain Haamed Hali Abdala Mendez,MX
fl:jo_ln:eickhoff-1,Jonathan Eickhoff,US
fl:ph_ln:warren-2,Philip C. Warren,US
fl:ma_ln:andersson-30,Marcus Andersson,SE
fl:ni_ln:vanstolk-1,Nicholas B. Van Stolk,US
fl:ke_ln:yamada-19,Keisuke Yamada,JP
fl:ra_ln:brown-42,Randall S. Brown,US
fl:ju_ln:sichon-1,Juan Sichon,US
fl:xi_ln:song-138,Xiaolian Song,CN
fl:ro_ln:boyd-27,Robert Boyd,US
fl:pe_ln:gill-2,"Peter E. Gill, III",US
fl:ha_ln:li-318,Hanhui Li,US
fl:ja_ln:lee-457,Jae Ik Lee,KR
fl:ji_ln:wang-303,Jia Wang,CN
fl:ma_ln:ebisawa-1,Masafumi Ebisawa,JP
fl:st_ln:gehring-2,Steffen Gehring,DE
fl:yo_ln:iida-12,Yoshiaki Iida,JP
fl:du_ln:salvador-1,Duarte Salvador,US
fl:we_ln:lin-35,Wen-Chi Lin,TW
fl:yi_ln:wang-130,Yi Wang,US
fl:ma_ln:siminoff-2,Mark Siminoff,US
fl:ch_ln:schwalbach-2,Charles A. Schwalbach,US
fl:dr_ln:dahill-1,Drew A. Dahill,US
fl:ed_ln:bailey-9,Edward Bailey,US
fl:pa_ln:patel-78,Paven Patel,US
fl:kr_ln:groth-2,Kristian Groth,DE
fl:wu_ln:he-6,Wu He,CN
fl:mi_ln:xu-71,Min Xu,CN
00vxdd4gw9c2apa5npkld0ann,Allison Sinclair Johnson,US
fl:ji_ln:chen-641,Jianfeng Chen,CN
fl:na_ln:brooks-6,Nathan Paul Brooks,US
fl:ch_ln:lin-1089,Chung-I Lin,TW
fl:xi_ln:shan-21,Xijie Shan,CN
fl:te_ln:hornsby-1,"Terrence J. Hornsby, Jr.",US
fl:ka_ln:takeuchi-22,Kazuhiro Takeuchi,JP
fl:st_ln:handbury-1,Stephen Handbury,US
fl:aa_ln:little-1,Aaron D. Little,US
fl:sh_ln:gao-164,Shaoming Gao,CN
fl:de_ln:becker-9,Derek John Becker,US
fl:wi_ln:nook-1,"William Knight Nook, Sr.",US
fl:se_ln:tant-1,Sean Tant,US
fl:al_ln:canning-1,Alison Canning,US
fl:br_ln:bonham-1,Brad Bonham,US
fl:ji_ln:hyun-31,Ji Min Hyun,KR
fl:ak_ln:murkute-1,Akshay Kishor Murkute,US
fl:hy_ln:kim-920,Hyungmin Kim,KR
fl:wi_ln:winter-3,William John Winter,US
fl:fe_ln:yan-34,Fengqiong Yan,US
fl:fr_ln:merelli-1,Francesco Merelli,IT
fl:je_ln:andersson-1,Jens Andersson,NL
fl:ma_ln:walter-6,Mathias Walter,SE
fl:zh_ln:li-39,Zhenhui Li,CN
fl:cl_ln:bailey-12,Clayton Bailey,US
fl:qi_ln:wang-245,Qian Wang,CN
fl:co_ln:eveleens-1,Cornelis Pieter Eveleens,NL
fl:st_ln:daly-4,Steven Ross Daly,US
fl:jo_ln:larsson-15,Johan Larsson,SE
fl:ur_ln:rahmel-1,Urs Rahmel,DE
fl:pi_ln:cho-4,Ping Joyce Cho,CN
00zm876j299ddw69fu1dantql,Nathan Slack,US
fl:ke_ln:chen-17,Ken-Tuan Chen,TW
fl:ad_ln:tucker-1,Adam Reed Tucker,US
fl:jo_ln:kran-1,Joshua David Kran,US
fl:pe_ln:grossman-3,Peter Grossman,AU
fl:sh_ln:takahashi-49,Shin Takahashi,JP
fl:br_ln:freeland-3,Brian Freeland,US
fl:he_ln:li-59,He Li,CN
fl:ja_ln:sherman-15,James Sherman,US
fl:we_ln:yang-261,Weiyu Yang,US
fl:pa_ln:murray-29,Parker Murray,US
fl:da_ln:wilcox-27,Dayne Wilcox,US
fl:ki_ln:turner-6,Kirk William Turner,US
fl:ho_ln:jeon-45,Hoil Jeon,KR
fl:zh_ln:zhang-187,Zhanlin Zhang,CN
fl:ga_ln:grueber-1,Garry Grueber,DE
fl:ga_ln:zaiger-1,Gary Neil Zaiger,US
fl:ma_ln:england-1,Matthew J. England,US
fl:ke_ln:tracy-3,Kevin Tracy,US
fl:da_ln:heinz-6,Damian Heinz,US
fl:fr_ln:harris-13,Frederick Miles Harris,US
fl:xi_ln:luo-163,Xing Luo,US
fl:ju_ln:benacquisto-1,Justin Benacquisto,US
fl:na_ln:dunahay-1,Nash Dunahay,US
fl:pa_ln:wirth-4,Paul Z. Wirth,US
fl:am_ln:smith-20,Amanda Smith,US
fl:mi_ln:zheng-36,Min-Yan Zheng,CA
fl:ab_ln:habosha-1,Abraham Habosha,US
fl:cl_ln:eichelberger-1,Cleatis A. Eichelberger,US
fl:yi_ln:zhu-82,Yibing Zhu,US
fl:is_ln:basso-1,Ismael Basso,US
fl:da_ln:cao-12,Dawei Cao,CN
fl:br_ln:christensen-25,Brian Christensen,US
fl:ca_ln:santana-1,Carlos M. Santana,US
fl:mi_ln:jou-10,Michael Jou,US
fl:so_ln:ying-1,Songqing Ying,CN
fl:br_ln:hopper-4,Brittany Hopper,US
fl:cl_ln:tissandier-1,Clement Tissandier,US
fl:ma_ln:takeuchi-12,Masakatsu Takeuchi,JP
fl:zu_ln:tang-9,Zunrong Tang,US
fl:ja_ln:vandijk-4,Jan Van Dijk,US
fl:yo_ln:huang-136,Yongping Huang,US
fl:dm_ln:boutoussov-1,Dmitri Boutoussov,US
fl:vl_ln:orlov-2,Vladimir Orlov,US
fl:yi_ln:li-396,Yingzhe Li,US
fl:to_ln:owada-6,Tomoko Owada,JP
fl:to_ln:reese-2,Tobias Reese,US
fl:no_ln:kawaguchi-14,Noboru Kawaguchi,JP
fl:we_ln:wu-248,Wenlong Wu,US
fl:ch_ln:bell-4,Christopher Cleophus Bell,US
fl:na_ln:chen-53,Nanfei Chen,CN
fl:fa_ln:gao-8,Fan Gao,US
fl:da_ln:chin-2,Daniel Wayne Chin,US
fl:bi_ln:ebert-1,Birgit Ebert,DE
fl:ch_ln:park-829,Changil Park,JP
fl:ma_ln:riker-1,Martin Lee Riker,US
fl:ch_ln:kiesling-2,Christopher Kiesling,US
fl:be_ln:bours-1,Benjamin B. Bours,US
fl:le_ln:gluhovsky-1,Leonid Gluhovsky,IL
fl:ch_ln:tingler-1,Chris Tingler,US
fl:he_ln:bibby-1,Henry R. Bibby,US
fl:be_ln:lejoly-1,Bertrand Lejoly,BE
fl:to_ln:fricker-1,Tobias Fricker,DE
fl:sa_ln:lee-80,Sang Jin Lee,US
fl:ch_ln:sepulveda-2,Christy Sepulveda,US
fl:je_ln:steffensmeier-1,Jennifer Anne Steffensmeier,US
015m53fjtb0azuinvl83g7k5y,Ahmet Sadikoglu,TR
fl:jo_ln:akana-1,Jody Akana,US
fl:ch_ln:wang-1561,Chunhua Wang,CN
fl:th_ln:ravindran-1,Thasma Ramaswamy Ravindran,IN
fl:ro_ln:gorfinkel-1,Roee Gorfinkel,IL
fl:je_ln:broderick-4,Jeff Broderick,US
fl:je_ln:clark-16,Jeremy A. Clark,US
fl:ra_ln:shapiro-3,Raphael Shapiro,US
fl:ji_ln:su-138,Jingfeng Su,CN
fl:zh_ln:luo-149,Zhuo Wen Luo,US
fl:ju_ln:kim-193,Jung Kim,US
fl:ka_ln:mo-3,Kangyi Mo,CN
fl:ma_ln:manuel-1,Mark Manuel,US
fl:wa_ln:huo-2,Wang Huo,CN
fl:ma_ln:myking-1,Marius Myking,US
fl:ca_ln:pitruzzello-1,Cal Pitruzzello,US
fl:pi_ln:droz-1,Pierre-Yves Droz,US
fl:lu_ln:saule-1,Lucas E. Saule,US
fl:ma_ln:blanchard-2,Marc Guy Blanchard,US
fl:qi_ln:chen-162,Qi Chen,CN
fl:jo_ln:bean-4,John D. Bean,US
fl:za_ln:parkinson-1,Zachary K. Parkinson,US
fl:th_ln:ford-13,Thomas E. Ford,US
fl:su_ln:kath-1,Summer Lane Kath,US
fl:ho_ln:deng-17,Hongchu Deng,CN
fl:ph_ln:mayleben-1,Philip Anthony Mayleben,US
fl:ja_ln:holt-16,James Holt,GB
fl:jo_ln:peterson-76,Joseph R. Peterson,US
fl:ch_ln:lai-89,Chien-Hsun Lai,TW
fl:wo_ln:lawhon-1,Woodrow William Lawhon,US
fl:ma_ln:rane-1,Mark Carlson Rane,US
fl:ro_ln:parsons-7,Robert R. Parsons,US
fl:be_ln:bangser-2,Benjamin Andrew Bangser,US
fl:ma_ln:walliser-1,Marc Rene Walliser,US
fl:yu_ln:isogai-8,Yuki Isogai,JP
fl:zh_ln:peng-107,Zhaoyuan Peng,CN
fl:ro_ln:rane-2,Rohan Rane,US
fl:pa_ln:johnson-49,Patrick Johnson,US
fl:ed_ln:genao-1,Edwin F. Genao,US
fl:ta_ln:smith-26,Taylor Smith,US
fl:ry_ln:klenke-2,Ryan Alan Klenke,US
fl:lu_ln:wade-3,Lucas Wade,US
fl:ch_ln:li-557,Cheng Li,CN
fl:zi_ln:bao-4,Ziqiang Bao,US
fl:li_ln:man-1,Liza S. Man,US
fl:br_ln:leccia-1,Brad Robert Leccia,US
fl:wi_ln:sorrentino-1,"William A. Sorrentino, III",US
fl:da_ln:cin-1,David Jonathan Cin,US
fl:zh_ln:zeng-102,Zhaopai Zeng,CN
fl:so_ln:cao-2,Songhua Cao,CN
fl:ra_ln:basque-1,Raymond Thierry Basque,US
fl:yi_ln:shu-6,Yiwei Shu,US
fl:ma_ln:piva-5,Marco Piva,IT
fl:na_ln:muenster-1,Natalie Muenster,US
fl:pa_ln:muysson-1,Paul Muysson,CA
fl:su_ln:carson-1,Susanna Carson,CA
fl:li_ln:li-278,Liangqing Li,CN
fl:se_ln:park-536,Seokhyun Park,KR
01b7p78ewrjpry7e2zipf7n3o,Tiffany Jaya,US
fl:ka_ln:kang-11,Kai Kang,US
fl:ra_ln:sonderegger-1,Ralph L. Sonderegger,US
fl:da_ln:ballman-1,Darryl J Ballman,US
